Date,Views,   Country,    Traffic,    Rating
01/06/2021,7831,USA,234,2
02/06/2021,7798,Germany,235,3
03/06/2021,7401,Africa,236,4
04/06/2021,7054,India,237,5
05/06/2021,7973,Pakistan,,4
06/06/2021,9114,Bangladesh,567,3
07/06/2021,10387,Srilanka,240,3
08/06/2021,8895,Russia,567,5
09/06/2021,9048,Japan,,4
10/06/2021,8431,Nepal,890,2
11/06/2021,8342,Korea,,2
12/06/2021,7720,USA,900,3
13/06/2021,7622,Germany,246,4
14/06/2021,10023,Africa,234,5
15/06/2021,9558,India,235,4
16/06/2021,9820,Pakistan,236,3
17/06/2021,8541,Bangladesh,237,3
18/06/2021,7803,Srilanka,0,5
19/06/2021,7092,Russia,567,4
20/06/2021,7386,Japan,240,2
21/06/2021,8298,Nepal,567,2
22/06/2021,8044,Korea,0,3
23/06/2021,7828,USA,890,4
24/06/2021,7455,Germany,0,5
25/06/2021,7559,Africa,900,4
26/06/2021,7349,India,246,3
27/06/2021,6953,Pakistan,234,3
28/06/2021,7996,Bangladesh,235,5
29/06/2021,8328,Srilanka,236,4
30/06/2021,7669,Russia,237,2
01/07/2021,6463,Japan,0,2
02/07/2021,6762,Nepal,567,3
03/07/2021,7648,Korea,240,4
04/07/2021,6870,USA,567,5
05/07/2021,7687,Germany,0,4
06/07/2021,8336,Africa,890,3
07/07/2021,7609,India,0,3
08/07/2021,7457,Germany,900,5
09/07/2021,7868,Africa,246,4
10/07/2021,8458,India,234,2
11/07/2021,6380,Pakistan,235,2
12/07/2021,7762,Bangladesh,236,3
13/07/2021,8538,Srilanka,237,4
14/07/2021,7898,Russia,0,5
15/07/2021,7968,Japan,567,4
16/07/2021,7729,Nepal,240,3
17/07/2021,7288,Korea,567,3
18/07/2021,7290,USA,0,5
19/07/2021,8024,Srilanka,890,4
20/07/2021,8076,Russia,0,2
21/07/2021,7494,Japan,900,2
22/07/2021,7962,Nepal,246,3
23/07/2021,8016,Korea,234,4
24/07/2021,7993,USA,235,5
25/07/2021,6810,Germany,236,4
26/07/2021,8240,Africa,237,3
27/07/2021,8921,India,0,3
28/07/2021,8198,Pakistan,567,5
29/07/2021,8095,Bangladesh,240,4
30/07/2021,7880,Germany,567,2
31/07/2021,7072,Africa,0,2
01/08/2021,6235,India,890,3
02/08/2021,7810,Pakistan,0,4
03/08/2021,8546,Bangladesh,900,5
04/08/2021,7941,Srilanka,246,4
05/08/2021,7308,Russia,234,3
06/08/2021,7440,Japan,235,3
07/08/2021,7509,Nepal,236,5
08/08/2021,6605,Korea,237,4
09/08/2021,9002,USA,0,2
10/08/2021,9104,Germany,567,2
11/08/2021,9131,Africa,240,3
12/08/2021,9085,India,567,4
13/08/2021,7485,Pakistan,0,5
14/08/2021,7599,Bangladesh,890,4
15/08/2021,7153,Srilanka,0,3
16/08/2021,8478,Russia,900,3
17/08/2021,8145,Japan,246,5
18/08/2021,7805,Nepal,234,4
19/08/2021,8512,Korea,235,2
20/08/2021,7076,USA,236,2
21/08/2021,7305,Germany,237,3
